change_label,changed_stage,degraded_doctors,delta_f1,delta_fpr,delta_recall,doctor_alias,doctor_macro_f1,f1,final_false_accepts,fpr,fpr_unstable,improved_doctors,mean_paired_delta_f1,median_paired_delta_f1,method,negative_query_count,positive_query_count,precision,recall,safety_pass,safety_pass_rate,shot,stage1_misses,stage2_rejects,support_seed,unchanged_doctors,zero_f1,zero_fpr,zero_precision,zero_recall
unchanged,none,0,0.0,0.0,0.0,ALL,0.8946886615214507,0.925971951003018,0,0.0,False,0,0.0,0.0,zero_shot,3000,3025,1.0,0.8621487603305785,True,1.0,3,125,292,,33,0.925971951003018,0.0,1.0,0.8621487603305785
improved,stage2,2,0.04193345440238738,0.01,0.08495867768595045,ALL,0.9492964552621964,0.9679054054054054,30,0.01,False,12,0.05295301211223845,0.0,stage2_positive_bias,3000,3025,0.9896373056994818,0.947107438016529,True,0.9393939393939394,3,125,292,,19,0.925971951003018,0.0,1.0,0.8621487603305785
improved,stage2,2,0.037618226812392574,0.011666666666666667,0.07834710743801654,ALL,0.9422245943217585,0.9635901778154106,35,0.011666666666666667,False,12,0.04609544998817743,0.0,stage2_cosine_prototype,3000,3025,0.9878472222222222,0.9404958677685951,True,0.9393939393939394,3,125,292,,19,0.925971951003018,0.0,1.0,0.8621487603305785
unchanged,stage2,0,0.0,0.0,0.0,ALL,0.8946886615214507,0.925971951003018,0,0.0,False,0,0.0,0.0,stage2_finetune_bias_only,3000,3025,1.0,0.8621487603305785,True,1.0,3,125,292,,33,0.925971951003018,0.0,1.0,0.8621487603305785
unchanged,stage2,0,0.0,0.0,0.0,ALL,0.8946886615214507,0.925971951003018,0,0.0,False,0,0.0,0.0,stage2_finetune_head,3000,3025,1.0,0.8621487603305785,True,1.0,3,125,292,,33,0.925971951003018,0.0,1.0,0.8621487603305785
unchanged,stage1,0,0.0,0.0,0.0,ALL,0.8946886615214507,0.925971951003018,0,0.0,False,0,0.0,0.0,stage1_finetune_bias_only,3000,3025,1.0,0.8621487603305785,True,1.0,3,125,292,,33,0.925971951003018,0.0,1.0,0.8621487603305785
unchanged,stage1,0,0.0,0.0,0.0,ALL,0.8946886615214507,0.925971951003018,0,0.0,False,0,0.0,0.0,stage1_finetune_head,3000,3025,1.0,0.8621487603305785,True,1.0,3,125,292,,33,0.925971951003018,0.0,1.0,0.8621487603305785
unchanged,stage1+stage2,0,0.0,0.0,0.0,ALL,0.8946886615214507,0.925971951003018,0,0.0,False,0,0.0,0.0,stage1_stage2_combined,3000,3025,1.0,0.8621487603305785,True,1.0,3,125,292,,33,0.925971951003018,0.0,1.0,0.8621487603305785
unchanged,none,0,0.0,0.0,0.0,ALL,0.907487773969105,0.92864241701451,0,0.0,False,0,0.0,0.0,zero_shot,2975,2695,1.0,0.8667903525046382,True,1.0,5,96,263,,31,0.92864241701451,0.0,1.0,0.8667903525046382
improved,stage2,2,0.04132925437359192,0.010756302521008404,0.08608534322820038,ALL,0.9546413366627812,0.9699716713881019,32,0.010756302521008404,False,11,0.04715356269367644,0.0,stage2_positive_bias,2975,2695,0.9876923076923076,0.9528756957328386,True,0.9032258064516129,5,96,263,,18,0.92864241701451,0.0,1.0,0.8667903525046382
improved,stage2,2,0.04194581827960764,0.011764705882352941,0.08831168831168834,ALL,0.957218987480192,0.9705882352941176,35,0.011764705882352941,False,11,0.04973121351108716,0.0,stage2_cosine_prototype,2975,2695,0.9865848984285167,0.9551020408163265,True,0.9354838709677419,5,96,263,,18,0.92864241701451,0.0,1.0,0.8667903525046382
unchanged,stage2,0,0.0,0.0,0.0,ALL,0.907487773969105,0.92864241701451,0,0.0,False,0,0.0,0.0,stage2_finetune_bias_only,2975,2695,1.0,0.8667903525046382,True,1.0,5,96,263,,31,0.92864241701451,0.0,1.0,0.8667903525046382
unchanged,stage2,0,0.0,0.0,0.0,ALL,0.907487773969105,0.92864241701451,0,0.0,False,0,0.0,0.0,stage2_finetune_head,2975,2695,1.0,0.8667903525046382,True,1.0,5,96,263,,31,0.92864241701451,0.0,1.0,0.8667903525046382
unchanged,stage1,0,0.0,0.0,0.0,ALL,0.907487773969105,0.92864241701451,0,0.0,False,0,0.0,0.0,stage1_finetune_bias_only,2975,2695,1.0,0.8667903525046382,True,1.0,5,96,263,,31,0.92864241701451,0.0,1.0,0.8667903525046382
unchanged,stage1,0,0.0,0.0,0.0,ALL,0.907487773969105,0.92864241701451,0,0.0,False,0,0.0,0.0,stage1_finetune_head,2975,2695,1.0,0.8667903525046382,True,1.0,5,96,263,,31,0.92864241701451,0.0,1.0,0.8667903525046382
unchanged,stage1+stage2,0,0.0,0.0,0.0,ALL,0.907487773969105,0.92864241701451,0,0.0,False,0,0.0,0.0,stage1_stage2_combined,2975,2695,1.0,0.8667903525046382,True,1.0,5,96,263,,31,0.92864241701451,0.0,1.0,0.8667903525046382
