change_label,changed_stage,delta_f1,delta_fpr,delta_recall,doctor_alias,f1,final_false_accepts,fpr,fpr_unstable,method,negative_query_count,positive_query_count,precision,recall,safety_pass,shot,stage1_misses,stage2_rejects,support_seed,zero_f1,zero_fpr,zero_precision,zero_recall
unchanged,stage1,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage1_finetune_bias_only,30,21,1.0,0.5714285714285714,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage1,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage1_finetune_head,30,21,1.0,0.5714285714285714,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage1_stage2_combined,30,21,1.0,0.5714285714285714,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
improved,stage2,0.16746411483253587,0.0,0.23809523809523814,D001,0.8947368421052632,0,0.0,False,stage2_cosine_prototype,30,21,1.0,0.8095238095238095,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage2,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage2_finetune_bias_only,30,21,1.0,0.5714285714285714,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage2,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage2_finetune_head,30,21,1.0,0.5714285714285714,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
improved,stage2,0.16746411483253587,0.0,0.23809523809523814,D001,0.8947368421052632,0,0.0,False,stage2_positive_bias,30,21,1.0,0.8095238095238095,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,none,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,zero_shot,30,21,1.0,0.5714285714285714,True,3,2,7,20260620,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage1,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage1_finetune_bias_only,30,21,1.0,0.5714285714285714,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage1,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage1_finetune_head,30,21,1.0,0.5714285714285714,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage1_stage2_combined,30,21,1.0,0.5714285714285714,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
degraded,stage2,-0.4772727272727273,0.0,-0.42857142857142855,D001,0.25,0,0.0,False,stage2_cosine_prototype,30,21,1.0,0.14285714285714285,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage2,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage2_finetune_bias_only,30,21,1.0,0.5714285714285714,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,stage2,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,stage2_finetune_head,30,21,1.0,0.5714285714285714,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
improved,stage2,0.19580419580419572,0.0,0.2857142857142857,D001,0.923076923076923,0,0.0,False,stage2_positive_bias,30,21,1.0,0.8571428571428571,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
unchanged,none,0.0,0.0,0.0,D001,0.7272727272727273,0,0.0,False,zero_shot,30,21,1.0,0.5714285714285714,True,3,1,8,20260621,0.7272727272727273,0.0,1.0,0.5714285714285714
