fold,method,precision,recall,false_positive_rate,f1,balanced_accuracy
0,qwen_exact,1.0,0.32666666666666666,0.0,0.4924623115577889,0.6633333333333333
0,stage1_only,0.9459459459459459,0.9333333333333333,0.07142857142857142,0.9395973154362416,0.930952380952381
0,stage2_bce,0.9774436090225563,0.8666666666666667,0.026785714285714284,0.9187279151943462,0.9199404761904761
0,stage2_bce_supcon,1.0,0.7133333333333334,0.0,0.8326848249027238,0.8566666666666667
0,validation_selected,1.0,0.7133333333333334,0.0,0.8326848249027238,0.8566666666666667
1,qwen_exact,1.0,0.7857142857142857,0.0,0.88,0.8928571428571428
1,stage1_only,0.9673202614379085,0.961038961038961,0.04065040650406504,0.9641693811074918,0.960194277267448
1,stage2_bce,1.0,0.8051948051948052,0.0,0.8920863309352518,0.9025974025974026
1,stage2_bce_supcon,1.0,0.922077922077922,0.0,0.9594594594594594,0.961038961038961
1,validation_selected,1.0,0.8051948051948052,0.0,0.8920863309352518,0.9025974025974026
2,qwen_exact,1.0,0.7152317880794702,0.0,0.8339768339768339,0.8576158940397351
2,stage1_only,0.993103448275862,0.9536423841059603,0.008849557522123894,0.972972972972973,0.9723964132919182
2,stage2_bce,1.0,0.9470198675496688,0.0,0.9727891156462585,0.9735099337748344
2,stage2_bce_supcon,1.0,0.9403973509933775,0.0,0.969283276450512,0.9701986754966887
2,validation_selected,1.0,0.9470198675496688,0.0,0.9727891156462585,0.9735099337748344
3,qwen_exact,1.0,0.6095890410958904,0.0,0.7574468085106383,0.8047945205479452
3,stage1_only,0.9150326797385621,0.958904109589041,0.10483870967741936,0.9364548494983277,0.9270326999558108
3,stage2_bce,1.0,0.8972602739726028,0.0,0.9458483754512635,0.9486301369863014
3,stage2_bce_supcon,1.0,0.9178082191780822,0.0,0.9571428571428571,0.9589041095890412
3,validation_selected,1.0,0.8972602739726028,0.0,0.9458483754512635,0.9486301369863014
4,qwen_exact,1.0,0.6573426573426573,0.0,0.7932489451476793,0.8286713286713286
4,stage1_only,0.9652777777777778,0.972027972027972,0.038461538461538464,0.9686411149825783,0.9667832167832168
4,stage2_bce,1.0,0.8881118881118881,0.0,0.9407407407407408,0.9440559440559441
4,stage2_bce_supcon,1.0,0.9300699300699301,0.0,0.963768115942029,0.965034965034965
4,validation_selected,1.0,0.8881118881118881,0.0,0.9407407407407408,0.9440559440559441
