participant_alias,fold,support_seed,condition,shots,query_clip_count,query_positive_count,query_negative_count,adaptation_recipe,precision,recall,false_positive_rate,f1,tp,tn,fp,fn
P001,2,20260620,0,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9047619047619048,0.0,0.9500000000000001,19,30,0,2
P001,2,20260620,3,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9047619047619048,0.0,0.9500000000000001,19,30,0,2
P001,2,20260621,0,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9047619047619048,0.0,0.9500000000000001,19,30,0,2
P001,2,20260621,3,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9047619047619048,0.0,0.9500000000000001,19,30,0,2
P001,2,20260622,0,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9047619047619048,0.0,0.9500000000000001,19,30,0,2
P001,2,20260622,3,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9047619047619048,0.0,0.9500000000000001,19,30,0,2
P001,2,20260623,0,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9523809523809523,0.0,0.975609756097561,20,30,0,1
P001,2,20260623,3,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9523809523809523,0.0,0.975609756097561,20,30,0,1
P001,2,20260624,0,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9523809523809523,0.0,0.975609756097561,20,30,0,1
P001,2,20260624,3,3,51,21,30,no_adaptation_zero_shot_fallback,1.0,0.9523809523809523,0.0,0.975609756097561,20,30,0,1
P001,2,20260620,0,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.8947368421052632,0.0,0.9444444444444444,17,30,0,2
P001,2,20260620,5,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.8947368421052632,0.0,0.9444444444444444,17,30,0,2
P001,2,20260621,0,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.8947368421052632,0.0,0.9444444444444444,17,30,0,2
P001,2,20260621,5,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.8947368421052632,0.0,0.9444444444444444,17,30,0,2
P001,2,20260622,0,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.8947368421052632,0.0,0.9444444444444444,17,30,0,2
P001,2,20260622,5,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.8947368421052632,0.0,0.9444444444444444,17,30,0,2
P001,2,20260623,0,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.9473684210526315,0.0,0.972972972972973,18,30,0,1
P001,2,20260623,5,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.9473684210526315,0.0,0.972972972972973,18,30,0,1
P001,2,20260624,0,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.9473684210526315,0.0,0.972972972972973,18,30,0,1
P001,2,20260624,5,5,49,19,30,no_adaptation_zero_shot_fallback,1.0,0.9473684210526315,0.0,0.972972972972973,18,30,0,1
