clip_id,error_type,fold,label,prompt_group,stage1_candidate,stage1_clip_score,stage2_candidate_score
C000405,STAGE1_MISS,0,1,P1_vigil_only,False,0.0006436257972382009,0.0
C000465,STAGE1_MISS,0,1,P1_vigil_only,False,0.0006681605591438711,0.0
C000468,STAGE1_MISS,0,1,P2_phrase_plus_vigil,False,0.7333540916442871,0.0
C000485,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9816948771476746,0.08005046844482422
C000486,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9935917258262634,0.7094950675964355
C000487,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9925732612609863,0.6878974437713623
C000488,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9928386807441711,0.6698434948921204
C000490,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9953336119651794,0.6375503540039062
C000492,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9924190044403076,0.08887132257223129
C000494,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.9958643913269043,0.5698449611663818
C000507,STAGE1_MISS,0,1,P1_vigil_only,False,0.0964406356215477,0.0
C000518,STAGE1_MISS,0,1,P3_vigil_plus_phrase,False,0.09800571948289871,0.0
C000622,STAGE1_MISS,0,1,P1_vigil_only,False,0.7022609114646912,0.0
C000623,STAGE2_REJECT,0,1,P1_vigil_only,True,0.9925037622451782,0.4740924537181854
C000626,STAGE1_MISS,0,1,P2_phrase_plus_vigil,False,0.37005913257598877,0.0
C000627,STAGE1_MISS,0,1,P2_phrase_plus_vigil,False,0.0007607191801071167,0.0
C000628,STAGE1_MISS,0,1,P2_phrase_plus_vigil,False,0.534175455570221,0.0
C000632,STAGE1_MISS,0,1,P2_phrase_plus_vigil,False,0.0023741323966532946,0.0
C001659,STAGE1_FALSE_CANDIDATE_REJECTED,0,0,P4_negative,True,0.7801637649536133,0.09576735645532608
C000002,STAGE1_MISS,1,1,P2_phrase_plus_vigil,False,0.021306011825799942,0.0
C000679,STAGE1_FALSE_CANDIDATE_REJECTED,1,0,P4_negative,True,0.8441071510314941,0.37316077947616577
C000689,STAGE1_MISS,1,1,P1_vigil_only,False,0.007384141441434622,0.0
C000692,STAGE1_FALSE_CANDIDATE_REJECTED,1,0,P4_negative,True,0.9317614436149597,0.49152475595474243
C000866,STAGE2_REJECT,1,1,P3_vigil_plus_phrase,True,0.9892492294311523,0.503865659236908
C000999,STAGE2_FALSE_ACCEPT,1,0,P4_negative,True,0.6043688058853149,0.6933532953262329
C001063,STAGE1_MISS,1,1,P1_vigil_only,False,0.5303258895874023,0.0
C001453,STAGE1_MISS,1,1,P1_vigil_only,False,0.039698317646980286,0.0
C001561,STAGE1_MISS,1,1,P1_vigil_only,False,0.00044351827818900347,0.0
C001562,STAGE1_MISS,1,1,P1_vigil_only,False,0.015285941772162914,0.0
C001564,STAGE2_REJECT,1,1,P2_phrase_plus_vigil,True,0.9970051646232605,0.48251160979270935
C001575,STAGE1_FALSE_CANDIDATE_REJECTED,1,0,P4_negative,True,0.9423364996910095,0.32296276092529297
C001576,STAGE1_FALSE_CANDIDATE_REJECTED,1,0,P4_negative,True,0.9721612334251404,0.5364904999732971
C000017,STAGE1_MISS,2,1,P3_vigil_plus_phrase,False,0.06313550472259521,0.0
C000283,STAGE1_MISS,2,1,P1_vigil_only,False,0.8327229619026184,0.0
C000345,STAGE1_FALSE_CANDIDATE_REJECTED,2,0,P4_negative,True,0.9963485598564148,0.16819214820861816
C000498,STAGE1_MISS,2,1,P1_vigil_only,False,0.06997495889663696,0.0
C000499,STAGE1_MISS,2,1,P1_vigil_only,False,0.015049023553729057,0.0
C000500,STAGE1_MISS,2,1,P1_vigil_only,False,0.09057966619729996,0.0
C000589,STAGE1_MISS,2,1,P3_vigil_plus_phrase,False,0.01591348461806774,0.0
C001617,STAGE1_MISS,2,1,P1_vigil_only,False,0.5458365082740784,0.0
C000125,STAGE2_REJECT,3,1,P2_phrase_plus_vigil,True,0.9989504218101501,0.22646945714950562
C000378,STAGE2_REJECT,3,1,P1_vigil_only,True,0.9815966486930847,0.25031065940856934
