3_shot_delta_f1,3_shot_delta_fpr,3_shot_delta_recall,3_shot_f1,3_shot_fpr,3_shot_recall,5_shot_delta_f1,5_shot_delta_fpr,5_shot_delta_recall,5_shot_f1,5_shot_fpr,5_shot_recall,doctor_alias,fpr_unstable,neg_query,pos_query,shot,zero_f1,zero_fpr,zero_recall
0.1532084231470734,0.0,0.20952380952380945,0.8648648648648648,0.0,0.7619047619047619,,,,,,,D001,False,150,105,3,0.7116564417177914,0.0,0.5523809523809524
0.0,0.0,0.0,,0.0,0.0,,,,,,,D003,False,15,10,3,,0.0,0.0
0.12112403100775204,0.0,0.20000000000000007,0.9583333333333334,0.0,0.92,,,,,,,D004,False,15,50,3,0.8372093023255813,0.0,0.72
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D006,False,35,120,3,1.0,0.0,1.0
0.0,0.0,0.0,0.9417989417989417,0.0,0.89,,,,,,,D007,False,150,100,3,0.9417989417989417,0.0,0.89
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D008,False,75,60,3,1.0,0.0,1.0
0.0,0.0,0.0,0.923076923076923,0.0,0.8571428571428571,,,,,,,D009,False,75,70,3,0.923076923076923,0.0,0.8571428571428571
0.0,0.0,0.0,0.9743589743589743,0.0,0.95,,,,,,,D010,False,85,80,3,0.9743589743589743,0.0,0.95
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D011,False,75,40,3,1.0,0.0,1.0
-0.1407683225865044,0.25,0.10000000000000009,0.7603305785123967,0.25,0.92,,,,,,,D012,False,100,50,3,0.9010989010989011,0.0,0.82
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D013,False,75,45,3,1.0,0.0,1.0
-0.009528372192057932,0.05555555555555555,0.013114754098360604,0.9838709677419354,0.05555555555555555,1.0,,,,,,,D014,False,180,305,3,0.9933993399339933,0.0,0.9868852459016394
0.0,0.0,0.0,0.9743589743589743,0.0,0.95,,,,,,,D016,False,70,80,3,0.9743589743589743,0.0,0.95
0.0,0.0,0.0,0.8679245283018869,0.0,0.7666666666666667,,,,,,,D017,False,25,30,3,0.8679245283018869,0.0,0.7666666666666667
0.00917431192660556,0.0,0.018181818181818188,1.0,0.0,1.0,,,,,,,D018,False,90,165,3,0.9908256880733944,0.0,0.9818181818181818
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D019,False,225,160,3,1.0,0.0,1.0
0.02671225558286139,0.0,0.04999999999999993,0.9795918367346939,0.0,0.96,,,,,,,D020,False,150,100,3,0.9528795811518325,0.0,0.91
0.261679666410118,0.0,0.4059701492537313,0.9879154078549849,0.0,0.9761194029850746,,,,,,,D022,False,150,335,3,0.7262357414448669,0.0,0.5701492537313433
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D023,False,30,45,3,1.0,0.0,1.0
0.046511627906976716,0.0,0.0888888888888889,1.0,0.0,1.0,,,,,,,D024,False,15,45,3,0.9534883720930233,0.0,0.9111111111111111
0.07077814569536445,0.0,0.09473684210526323,0.8125000000000001,0.0,0.6842105263157895,,,,,,,D025,False,75,95,3,0.7417218543046357,0.0,0.5894736842105263
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D026,False,75,45,3,1.0,0.0,1.0
0.19047619047619047,0.0,0.31999999999999995,1.0,0.0,1.0,,,,,,,D027,False,85,50,3,0.8095238095238095,0.0,0.68
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D028,False,75,65,3,1.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D029,False,150,135,3,1.0,0.0,1.0
0.2884615384615384,0.0,0.3,0.7499999999999999,0.0,0.6,,,,,,,D030,False,10,10,3,0.4615384615384615,0.0,0.3
0.3586550435865504,0.0,0.44999999999999996,0.9041095890410958,0.0,0.825,,,,,,,D031,False,75,40,3,0.5454545454545454,0.0,0.375
0.08695652173913038,0.0,0.16000000000000003,1.0,0.0,1.0,,,,,,,D032,False,10,25,3,0.9130434782608696,0.0,0.84
0.30657866723440486,0.0,0.35555555555555557,0.8311688311688311,0.0,0.7111111111111111,,,,,,,D033,False,25,45,3,0.5245901639344263,0.0,0.35555555555555557
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D034,False,75,40,3,1.0,0.0,1.0
0.0,0.0,0.0,0.9130434782608696,0.0,0.84,,,,,,,D035,False,75,50,3,0.9130434782608696,0.0,0.84
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,D036,False,200,260,3,1.0,0.0,1.0
0.027190332326283984,0.0,0.05294117647058827,1.0,0.0,1.0,,,,,,,D037,False,285,170,3,0.972809667673716,0.0,0.9470588235294117
,,,,,,0.15882967607105525,0.0,0.21052631578947367,0.8484848484848484,0.0,0.7368421052631579,D001,False,150,95,5,0.6896551724137931,0.0,0.5263157894736842
,,,,,,0.15948963317384368,0.0,0.25,0.9473684210526316,0.0,0.9,D004,False,15,40,5,0.787878787878788,0.0,0.65
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D006,False,35,110,5,1.0,0.0,1.0
,,,,,,0.0,0.0,0.0,0.9534883720930233,0.0,0.9111111111111111,D007,False,150,90,5,0.9534883720930233,0.0,0.9111111111111111
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D008,False,75,50,5,1.0,0.0,1.0
,,,,,,0.0,0.0,0.0,0.9285714285714286,0.0,0.8666666666666667,D009,False,75,60,5,0.9285714285714286,0.0,0.8666666666666667
,,,,,,0.0,0.0,0.0,0.9781021897810218,0.0,0.9571428571428572,D010,False,85,70,5,0.9781021897810218,0.0,0.9571428571428572
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D011,False,75,30,5,1.0,0.0,1.0
,,,,,,-0.17861939296266438,0.25,0.10000000000000009,0.7254901960784315,0.25,0.925,D012,False,100,40,5,0.9041095890410958,0.0,0.825
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D013,False,75,35,5,1.0,0.0,1.0
,,,,,,-0.009840728100113827,0.05555555555555555,0.013559322033898313,0.9833333333333333,0.05555555555555555,1.0,D014,False,180,295,5,0.9931740614334471,0.0,0.9864406779661017
,,,,,,0.0,0.0,0.0,0.9781021897810218,0.0,0.9571428571428572,D016,False,70,70,5,0.9781021897810218,0.0,0.9571428571428572
,,,,,,0.0,0.0,0.0,0.9189189189189189,0.0,0.85,D017,False,25,20,5,0.9189189189189189,0.0,0.85
,,,,,,0.006493506493506551,0.0,0.012903225806451646,1.0,0.0,1.0,D018,False,90,155,5,0.9935064935064934,0.0,0.9870967741935484
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D019,False,225,150,5,1.0,0.0,1.0
,,,,,,0.02378435517970401,0.0,0.04444444444444451,0.9772727272727273,0.0,0.9555555555555556,D020,False,150,90,5,0.9534883720930233,0.0,0.9111111111111111
,,,,,,0.2645526932657646,0.0,0.4092307692307693,0.987538940809969,0.0,0.9753846153846154,D022,False,150,325,5,0.7229862475442044,0.0,0.5661538461538461
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D023,False,30,35,5,1.0,0.0,1.0
,,,,,,0.04477611940298498,0.0,0.08571428571428574,1.0,0.0,1.0,D024,False,15,35,5,0.955223880597015,0.0,0.9142857142857143
,,,,,,0.0810123901302553,0.0,0.10588235294117643,0.8028169014084507,0.0,0.6705882352941176,D025,False,75,85,5,0.7218045112781954,0.0,0.5647058823529412
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D026,False,75,35,5,1.0,0.0,1.0
,,,,,,0.21212121212121204,0.0,0.35,1.0,0.0,1.0,D027,False,85,40,5,0.787878787878788,0.0,0.65
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D028,False,75,55,5,1.0,0.0,1.0
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D029,False,150,125,5,1.0,0.0,1.0
,,,,,,0.3571428571428571,0.0,0.4666666666666667,0.9285714285714286,0.0,0.8666666666666667,D031,False,75,30,5,0.5714285714285715,0.0,0.4
,,,,,,0.11111111111111105,0.0,0.19999999999999996,1.0,0.0,1.0,D032,False,10,15,5,0.888888888888889,0.0,0.8
,,,,,,0.29166666666666663,0.0,0.34285714285714286,0.8333333333333333,0.0,0.7142857142857143,D033,False,25,35,5,0.5416666666666666,0.0,0.37142857142857144
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D034,False,75,30,5,1.0,0.0,1.0
,,,,,,0.0,0.0,0.0,0.888888888888889,0.0,0.8,D035,False,75,40,5,0.888888888888889,0.0,0.8
,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,D036,False,200,250,5,1.0,0.0,1.0
