adapted_decision,adapted_score,base_decision,base_score,clip_hash,doctor_alias,label,prompt_group,recipe_method,seed,shot,stage1_candidate,stage1_clip_score,stage2_score,theta1,theta2,zero_decision
False,0.1920507848262787,False,0.1920507848262787,67cc99345ea7,D001,1,P1_vigil_only,positive_bias,20260620,3,False,0.8126230835914612,0.1920507848262787,0.8938741683959961,0.7881337404251099,False
True,0.7491310238838196,False,0.7491310238838196,07e754618990,D001,1,P1_vigil_only,positive_bias,20260620,3,True,0.9931880235671997,0.7491310238838196,0.8938741683959961,0.7881337404251099,False
True,0.7574746012687683,False,0.7574746012687683,302514040b58,D001,1,P1_vigil_only,positive_bias,20260620,3,True,0.9566289782524109,0.7574746012687683,0.8938741683959961,0.7881337404251099,False
True,0.8176912665367126,True,0.8176912665367126,6a86f8d23414,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9957336783409119,0.8176912665367126,0.8938741683959961,0.7881337404251099,True
True,0.816686749458313,True,0.816686749458313,28b22a633895,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9938613176345825,0.816686749458313,0.8938741683959961,0.7881337404251099,True
True,0.8132121562957764,True,0.8132121562957764,6d1aac4a915a,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9977558255195618,0.8132121562957764,0.8938741683959961,0.7881337404251099,True
True,0.8157010078430176,True,0.8157010078430176,48cb31875239,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9960631728172302,0.8157010078430176,0.8938741683959961,0.7881337404251099,True
True,0.8121007680892944,True,0.8121007680892944,a7c2881b4ac7,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9974918365478516,0.8121007680892944,0.8938741683959961,0.7881337404251099,True
True,0.813396155834198,True,0.813396155834198,4885e934a93c,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.998439610004425,0.813396155834198,0.8938741683959961,0.7881337404251099,True
True,0.8133488297462463,True,0.8133488297462463,f69e131e3aca,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9984416365623474,0.8133488297462463,0.8938741683959961,0.7881337404251099,True
True,0.8151154518127441,True,0.8151154518127441,0fd25f185beb,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9986103773117065,0.8151154518127441,0.8938741683959961,0.7881337404251099,True
True,0.7741124629974365,False,0.7741124629974365,47f19ee1b6c6,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9983075857162476,0.7741124629974365,0.8938741683959961,0.7881337404251099,False
True,0.7558514475822449,False,0.7558514475822449,6dface035c4a,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9978285431861877,0.7558514475822449,0.8938741683959961,0.7881337404251099,False
True,0.8146413564682007,True,0.8146413564682007,da41d237e2e7,D001,1,P2_phrase_plus_vigil,positive_bias,20260620,3,True,0.9980317950248718,0.8146413564682007,0.8938741683959961,0.7881337404251099,True
False,0.18423964083194733,False,0.18423964083194733,dba2d155dd46,D001,1,P3_vigil_plus_phrase,positive_bias,20260620,3,True,0.9954918026924133,0.18423964083194733,0.8938741683959961,0.7881337404251099,False
False,0.19506271183490753,False,0.19506271183490753,01510c830e4d,D001,1,P3_vigil_plus_phrase,positive_bias,20260620,3,True,0.9951170682907104,0.19506271183490753,0.8938741683959961,0.7881337404251099,False
True,0.8040511608123779,True,0.8040511608123779,435fe3554eb3,D001,1,P3_vigil_plus_phrase,positive_bias,20260620,3,True,0.9953789710998535,0.8040511608123779,0.8938741683959961,0.7881337404251099,True
True,0.80275559425354,True,0.80275559425354,07a47041e235,D001,1,P3_vigil_plus_phrase,positive_bias,20260620,3,True,0.9965347051620483,0.80275559425354,0.8938741683959961,0.7881337404251099,True
True,0.8065705299377441,True,0.8065705299377441,9ba6b748ef5b,D001,1,P3_vigil_plus_phrase,positive_bias,20260620,3,True,0.9955718517303467,0.8065705299377441,0.8938741683959961,0.7881337404251099,True
True,0.6338974237442017,False,0.6338974237442017,d0c0777f991c,D001,1,P3_vigil_plus_phrase,positive_bias,20260620,3,True,0.995712399482727,0.6338974237442017,0.8938741683959961,0.7881337404251099,False
