participant_alias,shots,support_seed,label,prompt_group,zero_decision,adapted_decision
P008,3,20260620,1,P1_vigil_only,True,True
P008,3,20260620,1,P2_phrase_plus_vigil,True,True
P008,3,20260620,1,P2_phrase_plus_vigil,True,True
P008,3,20260620,1,P2_phrase_plus_vigil,True,True
P008,3,20260620,1,P2_phrase_plus_vigil,True,True
P008,3,20260620,1,P3_vigil_plus_phrase,True,True
P008,3,20260620,1,P3_vigil_plus_phrase,True,True
P008,3,20260620,1,P3_vigil_plus_phrase,True,True
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P008,3,20260620,0,P4_negative,False,False
P009,3,20260620,1,P1_vigil_only,False,False
P009,3,20260620,1,P2_phrase_plus_vigil,True,True
P009,3,20260620,1,P2_phrase_plus_vigil,True,True
P009,3,20260620,1,P2_phrase_plus_vigil,False,False
P009,3,20260620,1,P2_phrase_plus_vigil,True,True
P009,3,20260620,1,P2_phrase_plus_vigil,True,True
P009,3,20260620,1,P3_vigil_plus_phrase,True,True
P009,3,20260620,1,P3_vigil_plus_phrase,True,True
P009,3,20260620,1,P3_vigil_plus_phrase,True,True
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,True,True
P009,3,20260620,0,P4_negative,True,True
P009,3,20260620,0,P4_negative,True,True
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,True,True
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,False,False
P009,3,20260620,0,P4_negative,True,True
P009,3,20260620,1,P3_vigil_plus_phrase,True,True
P009,3,20260620,0,P4_negative,False,False
P014,3,20260620,1,P1_vigil_only,True,True
P014,3,20260620,1,P1_vigil_only,True,True
P014,3,20260620,1,P2_phrase_plus_vigil,True,True
P014,3,20260620,1,P2_phrase_plus_vigil,True,True
P014,3,20260620,1,P2_phrase_plus_vigil,True,True
P014,3,20260620,1,P3_vigil_plus_phrase,False,False
P014,3,20260620,0,P4_negative,False,False
P014,3,20260620,0,P4_negative,False,False
